date,humidity
2023-01-01,66
2023-01-02,65
2023-01-03,65
2023-01-04,68
2023-01-05,69
2023-01-06,63
2023-01-07,60
2023-01-08,57
2023-01-09,51
2023-01-10,48
2023-01-11,58
2023-01-12,68
2023-01-13,74
2023-01-14,67
2023-01-15,65
2023-01-16,72
2023-01-17,72
2023-01-18,69
2023-01-19,70
2023-01-20,70
2023-01-21,68
2023-01-22,60
2023-01-23,57
2023-01-24,58
2023-01-25,55
2023-01-26,57
2023-01-27,62
2023-01-28,71
2023-01-29,86
2023-01-30,76
2023-01-31,59
2023-02-01,49
2023-02-02,48
2023-02-03,51
2023-02-04,52
2023-02-05,57
2023-02-06,60
2023-02-07,58
2023-02-08,54
2023-02-09,47
2023-02-10,53
2023-02-11,49
2023-02-12,43
2023-02-13,36
2023-02-14,39
2023-02-15,39
2023-02-16,35
2023-02-17,32
2023-02-18,31
2023-02-19,40
2023-02-20,60
2023-02-21,59
2023-02-22,59
2023-02-23,46
2023-02-24,40
2023-02-25,35
2023-02-26,38
2023-02-27,36
2023-02-28,44
2023-03-01,47
2023-03-02,42
2023-03-03,50
2023-03-04,57
2023-03-05,53
2023-03-06,41
2023-03-07,39
2023-03-08,44
2023-03-09,32
2023-03-10,28
2023-03-11,35
2023-03-12,38
2023-03-13,47
2023-03-14,57
2023-03-15,54
2023-03-16,65
2023-03-17,74
2023-03-18,76
2023-03-19,73
2023-03-20,66
2023-03-21,72
2023-03-22,70
2023-03-23,70
2023-03-24,72
2023-03-25,66
2023-03-26,68
2023-03-27,74
2023-03-28,74
2023-03-29,75
2023-03-30,73
2023-03-31,72
2023-04-01,71
2023-04-02,72
2023-04-03,74
2023-04-04,74
2023-04-05,76
2023-04-06,64
2023-04-07,48
2023-04-08,50
2023-04-09,52
2023-04-10,51
2023-04-11,56
2023-04-12,47
2023-04-13,43
2023-04-14,49
2023-04-15,56
2023-04-16,62
2023-04-17,64
2023-04-18,44
2023-04-19,36
2023-04-20,57
2023-04-21,65
2023-04-22,74
2023-04-23,74
2023-04-24,74
2023-04-25,76
2023-04-26,74
2023-04-27,72
2023-04-28,70
2023-04-29,70
2023-04-30,70
2023-05-01,67
2023-05-02,68
2023-05-03,69
2023-05-04,71
2023-05-05,72
2023-05-06,73
2023-05-07,81
2023-05-08,71
2023-05-09,73
2023-05-10,74
2023-05-11,75
2023-05-12,78
2023-05-13,75
2023-05-14,75
2023-05-15,71
2023-05-16,69
2023-05-17,69
2023-05-18,74
2023-05-19,75
2023-05-20,74
2023-05-21,71
2023-05-22,73
2023-05-23,74
2023-05-24,73
2023-05-25,65
2023-05-26,65
2023-05-27,62
2023-05-28,66
2023-05-29,73
2023-05-30,75
2023-05-31,75
2023-06-01,76
2023-06-02,72
2023-06-03,65
2023-06-04,70
2023-06-05,70
2023-06-06,67
2023-06-07,68
2023-06-08,68
2023-06-09,73
